variable,ln_sales,ownership_10,monitoring,incentives,pbc_core,pbc_environment,ln_employees,firm_age,manager_experience
ln_sales,1,-0.02937350083755044,0.0911771265437693,0.22591661612199002,0.16791171422319565,0.24571903189353417,0.5031074884188881,0.027309334849786798,-0.02089625012321236
ownership_10,-0.02937350083755044,1,-0.11809863787770154,-0.040663758710501964,0.01655834236528176,-0.006168296697596114,-0.11423321435686612,-0.07585591358299515,-0.08314808628363435
monitoring,0.0911771265437693,-0.11809863787770154,1,0.3430704636739395,-0.08105313905161517,-0.07636948828413567,0.20720664907756262,0.04190634955574747,0.04369139911344367
incentives,0.22591661612199002,-0.040663758710501964,0.3430704636739395,1,0.024022343287496306,-0.010437091166290945,0.26455734853626806,0.025396567220466678,0.01623475837053826
pbc_core,0.16791171422319565,0.01655834236528176,-0.08105313905161517,0.024022343287496306,1,0.46322393977083315,0.07206635758992548,-0.05356378483743433,-0.06814846432675263
pbc_environment,0.24571903189353417,-0.006168296697596114,-0.07636948828413567,-0.010437091166290945,0.46322393977083315,1,0.02179435192878768,-0.08403638635187971,-0.1136901281967154
ln_employees,0.5031074884188881,-0.11423321435686612,0.20720664907756262,0.26455734853626806,0.07206635758992548,0.02179435192878768,1,0.19183879826556963,0.1039755677817757
firm_age,0.027309334849786798,-0.07585591358299515,0.04190634955574747,0.025396567220466678,-0.05356378483743433,-0.08403638635187971,0.19183879826556963,1,0.38552348171579537
manager_experience,-0.02089625012321236,-0.08314808628363435,0.04369139911344367,0.01623475837053826,-0.06814846432675263,-0.1136901281967154,0.1039755677817757,0.38552348171579537,1
