variable_name,variable_type,variable_label,missing_values
c16_esbr,"haven_labelled, vctrs_vctr, double",Number of incidents of water insufficiency in a typical month.  COMBINED VERSION,270072
c162,"haven_labelled, vctrs_vctr, double",Frequency of Incidents of Water Shortages In A Typical Month In Last FY,262813
c162_br,"haven_labelled, vctrs_vctr, double",Frequency of Incidents of Water Shortages In A Typical Month In Last FY,269897
c17,"haven_labelled, vctrs_vctr, double",Average Length Of Water Shortages (Affecting Production) In Last Fiscal Year,258477
c17_esbr,"haven_labelled, vctrs_vctr, double",Average duration of insufficient water supply  COMBINED VERSION Manufacturing fr,270097
c172,"haven_labelled, vctrs_vctr, double",Average Length of Water Shortages In Last Fiscal Year,264071
c172_br,"haven_labelled, vctrs_vctr, double",Average Length of Water Shortages In Last Fiscal Year,269943
c35a,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages",265972
c35a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages",269905
c35b,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages",269737
c35b_br,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages",270151
c18,"haven_labelled, vctrs_vctr, double",Water From Public Source,239603
c19,"haven_labelled, vctrs_vctr, double",Application To Obtain A Telephone Connection Submitted Over The Last Two Years,201985
c20,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Receive A Telephone Connection Service?,250049
c21,"haven_labelled, vctrs_vctr, double",When You Applied For A Telephone Connection Was An Informal Gift Requested?,249984
c22a,"haven_labelled, vctrs_vctr, double",Do You Currently Communicate With Clients And Suppliers By E-Mail?,134138
c22b,"haven_labelled, vctrs_vctr, double",Establishment Has Its Own Website,86
c36,"haven_labelled, vctrs_vctr, double",Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years,196390
c36_br,"haven_labelled, vctrs_vctr, double",Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years,266784
c37,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain Internet Connection?,259220
c37_br,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain Internet Connection?,269696
c38,"haven_labelled, vctrs_vctr, double",Cost to obtain Internet connection,261997
c38_br,"haven_labelled, vctrs_vctr, double",Cost to obtain Internet connection,269696
c39,"haven_labelled, vctrs_vctr, double",Did You Experience Internet Disruptions In Last FY?,193435
c39_br,"haven_labelled, vctrs_vctr, double",Did You Experience Internet Disruptions In Last FY?,268227
c40a,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Hours,256885
c40a_br,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Hours,269226
c40b,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Minutes,265715
c40b_br,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Minutes,269973
c41a,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Internet Disruptions",257466
c41a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Internet Disruptions",269828
c41b,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Internet Disruptions",269070
c41b_br,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Internet Disruptions",270149
c42,"haven_labelled, vctrs_vctr, double",How difficult to switch internet providers?,197377
c42_br,"haven_labelled, vctrs_vctr, double",How difficult to switch internet providers?,265954
c23,"haven_labelled, vctrs_vctr, double","Does The Firm Have A High-Speed, Broadband Internet Connection On Its Premises?",226344
c24a,"haven_labelled, vctrs_vctr, double",Internet - Communication,267501
c24b,"haven_labelled, vctrs_vctr, double",Is The Internet Connection Used To: Order Purchases For This Establishment?,250816
c24c,"haven_labelled, vctrs_vctr, double",Is The Internet Connection Used To: Deliver Services To Your Clients?,254217
c24d,"haven_labelled, vctrs_vctr, double",Is Internet Used To: Do Research And Develop Ideas On New Products And Services?,250817
c25,"haven_labelled, vctrs_vctr, double",Was Unavailability Of Internet Connection Experienced In Last Fiscal Year?,264260
c26,"haven_labelled, vctrs_vctr, double",Frequency Of Unavailability Of Internet Connection In Av. Month In Last Fisc Yr,267133
c27,"haven_labelled, vctrs_vctr, double",Length Of Unavailability Of Internet Connection In Av. Month In Last Fiscal Yr,267508
c29,"haven_labelled, vctrs_vctr, double",The Majority Of Cell Phones Used For The Operations Of The Establishment Are?,258858
c30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Electricity To Operations Of This Establishment?,635
c30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Telecommunications To Operations Of This Establishment?,163402
d1a1a,"haven_labelled, vctrs_vctr, double",Establishment'S Main Product/Service Last Fiscal Yr,124941
d1a1a_br,"haven_labelled, vctrs_vctr, double",Establishment's Main Porduct/Service,268549
d1a2,"haven_labelled, vctrs_vctr, double",Main Product/Service ISIC (Rev. 3.1) Code,82870
d1a2_v4,numeric,Main Product/Service ISIC (Rev. 4) Code,178956
d1a3,"haven_labelled, vctrs_vctr, double",Main Product/Service: Percent Of Total Annual Sales,10767
d2,"haven_labelled, vctrs_vctr, double","In Last Fiscal Year, What Were This Establishmentâ€™S Total Annual Sales?",52
d2_br,"haven_labelled, vctrs_vctr, double","Follow-up: In Last Fiscal Year, What Were This Establishment'S",268715
d2x,character,Please Also Write Out The Number,0
d2a1,"haven_labelled, vctrs_vctr, double",What were the establishment's sales 2 years ago?,251340
d2a1_br,"haven_labelled, vctrs_vctr, double",Follow-up: What were the establishment's sales 2 years ago?,269516
d2a1x,character,Please Also Write Out The Number,0
d1a6a,"haven_labelled, vctrs_vctr, double",Total number of hotel rooms in the last FY,264707
d1a6b,"haven_labelled, vctrs_vctr, double",Total areas of rooms in the last FY,264710
d1a6c,"haven_labelled, vctrs_vctr, double",Specify units,265722
d3a,"haven_labelled, vctrs_vctr, double",% Of Sales: National Sales,173
d3a_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Sales: National Sales,268715
