"variable_name","variable_type","variable_label"
"c4","haven_labelled, vctrs_vctr, double","How Many Days Did It Take For You To Receive An Electrical Connection Service?"
"c5","haven_labelled, vctrs_vctr, double","Informal Gift/Payment Expected Or Requested For An Electrical Connection?"
"c31","haven_labelled, vctrs_vctr, double","Cost to obtain electrical connection"
"c31_BR","haven_labelled, vctrs_vctr, double","Cost to obtain electrical connection"
"c32","haven_labelled, vctrs_vctr, double","Electricity consumption in a typical month (kWh)"
"c32_BR","haven_labelled, vctrs_vctr, double","Electricity consumption in a typical month (kWh)"
"c32b","haven_labelled, vctrs_vctr, double","Cost of monthly electricity consumption"
"c6","haven_labelled, vctrs_vctr, double","Over Last Fy, Did This Establishment Experience Power Outages?"
"c7","haven_labelled, vctrs_vctr, double","Number Of Power Outages Experienced In A Typical Month In Last Fiscal Year"
"c8","haven_labelled, vctrs_vctr, double","How Long Did The Average Power Outage Last?"
"c8a","haven_labelled, vctrs_vctr, double","Average Duration Of Power Outages {Hours; Minutes}"
"c8b","haven_labelled, vctrs_vctr, double","How Long Did These Power Outages Last On Average?"
"c9a","haven_labelled, vctrs_vctr, double","In Last Fy, Losses As % Of Annual Sales Due To Power Outages"
"c9b","haven_labelled, vctrs_vctr, double","In Last Fy, Value Of Losses Due To Power Outages"
"c10","haven_labelled, vctrs_vctr, double","Generator Shared Or Owned Over The Course Of Last Fiscal Year?"
"c11","haven_labelled, vctrs_vctr, double","% Electricity From Generator Owned/Shared By The Establishment In Last Fiscal Yr"
"c43","haven_labelled, vctrs_vctr, double","Over FY, did establishment use on-site solar panels?"
"c44","haven_labelled, vctrs_vctr, double","Percentage of electricity from solar panels"
"c12","haven_labelled, vctrs_vctr, double","Application To Obtain A Water Connection Submitted Over The Last 2 Years"
"c12_BR","haven_labelled, vctrs_vctr, double","Follow-up: Application To Obtain A Water Connection Submitted Over The Last 2 Ye"
"c13","haven_labelled, vctrs_vctr, double","How Many Days Did It Take For You To Obtain A Water Connection?"
"c14","haven_labelled, vctrs_vctr, double","When You Applied For A Water Connection, Was An Informal Gift/Payment Requested?"
"c33","haven_labelled, vctrs_vctr, double","Cost to obtain water connection"
"c33_BR","haven_labelled, vctrs_vctr, double","Cost to obtain water connection"
"c34","haven_labelled, vctrs_vctr, double","Water consumption in a typical month"
"c34_BR","haven_labelled, vctrs_vctr, double","Water consumption in a typical month"
"c34b","haven_labelled, vctrs_vctr, double","Unit measure of answer to C34"
"c34b_BR","haven_labelled, vctrs_vctr, double","Unit measure of answer to BEEc2b"
"c34bx","character","Other (Specify)"
"c34bx_BR","character","Other (Specify)"
"c34c","haven_labelled, vctrs_vctr, double","Cost of monthly water consumption"
"c45","haven_labelled, vctrs_vctr, double","Which best characterizes quality of piped water received from utility provider"
"c15","haven_labelled, vctrs_vctr, double","Did You Experience Insufficient Water Supply For Production In Last Fiscal Yr?"
"c15_BR","haven_labelled, vctrs_vctr, double","Did You Experience Insufficient Water Supply For Production In Last FY?"
"c15_ESBR","haven_labelled, vctrs_vctr, double","Did this establishment experience insufficient water supply?  COMBINED VERSION M"
"c152","haven_labelled, vctrs_vctr, double","Did You Experience Insufficient Water Supply In Last FY?"
"c152_BR","haven_labelled, vctrs_vctr, double","Did You Experience Insufficient Water Supply In Last FY?"
"c16","haven_labelled, vctrs_vctr, double","Frequency Of Incidents Of Water Shortages In A Typical Month In Last Fiscal Yr"
"c16_ESBR","haven_labelled, vctrs_vctr, double","Number of incidents of water insufficiency in a typical month.  COMBINED VERSION"
"c162","haven_labelled, vctrs_vctr, double","Frequency of Incidents of Water Shortages In A Typical Month In Last FY"
"c162_BR","haven_labelled, vctrs_vctr, double","Frequency of Incidents of Water Shortages In A Typical Month In Last FY"
"c17","haven_labelled, vctrs_vctr, double","Average Length Of Water Shortages (Affecting Production) In Last Fiscal Year"
"c17_ESBR","haven_labelled, vctrs_vctr, double","Average duration of insufficient water supply  COMBINED VERSION Manufacturing fr"
"c172","haven_labelled, vctrs_vctr, double","Average Length of Water Shortages In Last Fiscal Year"
"c172_BR","haven_labelled, vctrs_vctr, double","Average Length of Water Shortages In Last Fiscal Year"
"c35a","haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages"
"c35a_BR","haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages"
"c35b","haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages"
"c35b_BR","haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages"
"c18","haven_labelled, vctrs_vctr, double","Water From Public Source"
"c19","haven_labelled, vctrs_vctr, double","Application To Obtain A Telephone Connection Submitted Over The Last Two Years"
"c20","haven_labelled, vctrs_vctr, double","How Many Days Did It Take For You To Receive A Telephone Connection Service?"
"c21","haven_labelled, vctrs_vctr, double","When You Applied For A Telephone Connection Was An Informal Gift Requested?"
"c22a","haven_labelled, vctrs_vctr, double","Do You Currently Communicate With Clients And Suppliers By E-Mail?"
"c22b","haven_labelled, vctrs_vctr, double","Establishment Has Its Own Website"
"c36","haven_labelled, vctrs_vctr, double","Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years"
"c36_BR","haven_labelled, vctrs_vctr, double","Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years"
